                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0503,                 3.7399,                 1.2419,                0.09392,                0.74561,                0.34025,                0.10926,                 2.2327,                 3.4845,                 1.9998,               0.000714,               0.000714,               0.000714
                      2,                 1.4517,                 2.1491,                 1.5053,                0.58315,                0.50315,                0.57611,                0.38077,                 1.2664,                 2.1021,                 1.5023,             0.00070693,             0.00070693,             0.00070693
                      3,                 1.2229,                 1.5241,                 1.4086,                0.45584,                0.52632,                0.46179,                0.26335,                 1.4245,                 2.8053,                 1.5796,             0.00069986,             0.00069986,             0.00069986
                      4,                 1.1695,                 1.5366,                 1.3571,                0.45394,                0.42105,                0.39844,                0.20335,                 1.6468,                 2.9033,                 1.8705,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1052,                 1.3339,                 1.2969,                 0.8564,                0.71053,                0.83932,                0.50935,                 1.2455,                  1.216,                 1.4449,             0.00068573,             0.00068573,             0.00068573
                      6,                  1.097,                 1.3233,                 1.3142,                 0.7527,                0.72088,                0.80962,                0.50061,                 1.3795,                 1.3843,                 1.4965,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.0812,                 1.2618,                 1.2813,                0.78645,                0.83993,                0.87266,                0.58947,                 1.2082,                 1.1923,                 1.3767,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.0075,                 1.1926,                 1.2402,                0.87636,                 0.7807,                0.86902,                0.56462,                 1.1596,                 1.1913,                 1.3879,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.0407,                 1.1556,                 1.2695,                0.82084,                0.82456,                0.86768,                0.61073,                 1.1286,                 1.2075,                 1.3989,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.0284,                 1.1649,                 1.2388,                  0.888,                0.76316,                0.85719,                0.59628,                 1.0804,                 1.3384,                 1.3207,             0.00065038,             0.00065038,             0.00065038
                     11,                 0.9487,                 1.0929,                 1.1923,                 0.8524,                0.86123,                0.90638,                0.66739,                0.96531,                 1.0599,                 1.2316,             0.00064331,             0.00064331,             0.00064331
                     12,                0.99134,                 1.0999,                 1.1981,                0.87264,                0.78947,                0.89992,                0.60138,                 1.1293,                 1.0971,                 1.3383,             0.00063625,             0.00063625,             0.00063625
                     13,                0.95198,                 1.0779,                  1.191,                0.87051,                0.83333,                0.91333,                0.60932,                 1.1077,                 1.0255,                 1.3022,             0.00062918,             0.00062918,             0.00062918
                     14,                0.91274,                 1.0016,                 1.1596,                0.90412,                0.83333,                0.93161,                0.66848,                0.99314,                0.92138,                 1.2852,             0.00062211,             0.00062211,             0.00062211
                     15,                0.90276,                 0.9687,                 1.1578,                0.78871,                0.85138,                 0.8958,                 0.6693,                  1.013,                0.97969,                 1.2366,             0.00061504,             0.00061504,             0.00061504
                     16,                0.90857,                0.96708,                 1.1524,                0.86075,                0.86758,                0.92102,                0.66945,                0.93763,                 1.0252,                 1.1783,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.9041,                0.97312,                 1.1602,                0.83439,                0.83974,                0.91666,                0.69056,                 1.0342,                 1.0508,                 1.2338,              0.0006009,              0.0006009,              0.0006009
                     18,                0.90031,                0.93809,                 1.1411,                0.81266,                0.90351,                 0.9165,                0.66818,                 1.0566,                0.90134,                 1.2945,             0.00059383,             0.00059383,             0.00059383
                     19,                0.87424,                0.94023,                 1.1452,                0.85758,                0.85965,                0.91977,                0.69158,                 1.0384,                0.98381,                 1.2544,             0.00058677,             0.00058677,             0.00058677
                     20,                0.85888,                 0.8858,                 1.1298,                0.91639,                0.82456,                0.93039,                0.68097,                 1.1179,                0.97633,                 1.2832,              0.0005797,              0.0005797,              0.0005797
                     21,                0.88228,                0.90787,                 1.1388,                0.94792,                0.79831,                0.93544,                0.68957,                 1.0077,                 1.0425,                 1.2601,             0.00057263,             0.00057263,             0.00057263
                     22,                0.88414,                0.92092,                 1.1394,                0.90716,                0.79825,                0.92341,                0.67158,                 1.0078,                0.92953,                 1.2624,             0.00056556,             0.00056556,             0.00056556
                     23,                0.85779,                 0.9235,                 1.1217,                0.90199,                0.80725,                0.90065,                0.66242,                 1.0595,                 1.0112,                 1.2875,             0.00055849,             0.00055849,             0.00055849
                     24,                0.84378,                0.88874,                 1.1126,                0.91435,                0.85088,                0.92368,                0.66938,                 1.0829,                 0.9402,                 1.3839,             0.00055142,             0.00055142,             0.00055142
                     25,                0.84232,                0.85252,                 1.1129,                0.87995,                0.86842,                0.92862,                0.65167,                 1.1423,                 1.0743,                 1.4032,             0.00054435,             0.00054435,             0.00054435
                     26,                0.82411,                0.81783,                 1.1057,                0.87067,                0.88583,                 0.9432,                0.67121,                 1.0154,                0.88968,                  1.288,             0.00053728,             0.00053728,             0.00053728
                     27,                0.83247,                0.80753,                 1.0964,                0.92367,                0.84925,                0.93689,                0.70244,                0.95964,                0.92769,                 1.2456,             0.00053022,             0.00053022,             0.00053022
                     28,                0.82089,                 0.7792,                 1.0837,                 0.8359,                0.89474,                0.91469,                0.66528,                 1.0401,                0.98888,                 1.3182,             0.00052315,             0.00052315,             0.00052315
                     29,                0.81961,                0.81129,                 1.0949,                0.87849,                0.82456,                0.90712,                  0.648,                0.97679,                0.96979,                 1.2644,             0.00051608,             0.00051608,             0.00051608
                     30,                0.78669,                0.77998,                 1.0764,                 0.9254,                0.85088,                0.92595,                0.70074,                0.93842,                0.95396,                 1.2265,             0.00050901,             0.00050901,             0.00050901
                     31,                0.79347,                0.74547,                 1.0649,                0.82381,                0.88596,                0.91537,                0.67959,                  1.006,                0.85353,                 1.2546,             0.00050194,             0.00050194,             0.00050194
                     32,                0.79182,                0.75069,                 1.0785,                0.88094,                0.84211,                0.91342,                0.67881,                0.96046,                 0.8774,                 1.2586,             0.00049487,             0.00049487,             0.00049487
                     33,                0.76397,                0.76398,                 1.0686,                0.89881,                 0.8571,                0.92626,                0.71165,                0.89909,                0.91209,                 1.2021,              0.0004878,              0.0004878,              0.0004878
                     34,                 0.7421,                0.72643,                 1.0492,                0.96719,                0.79825,                0.90791,                0.69207,                 0.9641,                 1.0061,                 1.2568,             0.00048074,             0.00048074,             0.00048074
                     35,                0.77522,                0.70942,                 1.0545,                0.92187,                0.83333,                0.92243,                0.68751,                0.98049,                0.92184,                 1.2856,             0.00047367,             0.00047367,             0.00047367
                     36,                0.76338,                0.71945,                 1.0517,                0.88964,                0.84856,                 0.9271,                0.72104,                 0.9222,                0.92023,                 1.2343,              0.0004666,              0.0004666,              0.0004666
                     37,                0.74411,                0.74929,                 1.0633,                0.93304,                0.85567,                0.92577,                  0.704,                 1.0184,                 1.0091,                 1.2884,             0.00045953,             0.00045953,             0.00045953
                     38,                0.72503,                0.69267,                 1.0464,                0.96873,                0.81517,                0.92699,                0.73874,                0.93655,                0.94203,                 1.2299,             0.00045246,             0.00045246,             0.00045246
                     39,                0.75403,                0.70175,                 1.0536,                0.90479,                0.83357,                0.92603,                0.70607,                0.95551,                0.94621,                 1.2257,             0.00044539,             0.00044539,             0.00044539
                     40,                0.73892,                0.69004,                 1.0461,                0.84723,                0.88596,                0.91961,                0.70399,                0.94369,                 0.9377,                 1.2568,             0.00043832,             0.00043832,             0.00043832
                     41,                0.72572,                0.69696,                 1.0376,                 0.8882,                0.83625,                0.92544,                0.68288,                0.95356,                0.92453,                   1.24,             0.00043126,             0.00043126,             0.00043126
                     42,                0.70528,                0.67079,                 1.0251,                0.91274,                0.81579,                 0.8959,                0.68081,                0.96403,                0.95123,                 1.2916,             0.00042419,             0.00042419,             0.00042419
                     43,                0.71143,                 0.6744,                 1.0359,                0.95199,                 0.7807,                0.89118,                0.67981,                0.98384,                0.96697,                 1.3068,             0.00041712,             0.00041712,             0.00041712
                     44,                0.71913,                0.68148,                 1.0395,                0.88514,                0.86842,                0.91196,                0.68677,                 1.0373,                0.95346,                 1.3362,             0.00041005,             0.00041005,             0.00041005
                     45,                0.71515,                0.66166,                 1.0328,                0.91409,                0.84002,                0.90321,                0.68616,                 1.0016,                0.90521,                  1.316,             0.00040298,             0.00040298,             0.00040298
                     46,                0.70759,                0.65496,                 1.0361,                0.93186,                0.83975,                0.92369,                0.69046,                   1.04,                 0.8848,                 1.2958,             0.00039591,             0.00039591,             0.00039591
                     47,                0.69645,                0.66593,                 1.0318,                0.95045,                0.84122,                0.93857,                0.72203,                0.93504,                0.77672,                 1.2262,             0.00038884,             0.00038884,             0.00038884
                     48,                 0.7195,                0.65214,                 1.0344,                0.94701,                0.78381,                0.91929,                0.69791,                0.97608,                0.90044,                  1.258,             0.00038178,             0.00038178,             0.00038178
                     49,                0.68336,                 0.6355,                 1.0154,                0.87243,                0.87719,                0.93309,                0.72556,                0.93841,                0.86369,                 1.2683,             0.00037471,             0.00037471,             0.00037471
                     50,                0.69416,                0.62451,                 1.0279,                 0.9203,                0.86842,                0.95126,                 0.7096,                  1.019,                0.85223,                 1.2872,             0.00036764,             0.00036764,             0.00036764
                     51,                0.69928,                0.61945,                 1.0305,                0.95071,                0.82456,                0.93413,                0.71323,                 0.9343,                 0.8135,                 1.2165,             0.00036057,             0.00036057,             0.00036057
                     52,                0.70687,                0.62489,                 1.0193,                0.82732,                0.88596,                0.91741,                0.67688,                0.97677,                0.83184,                 1.2731,              0.0003535,              0.0003535,              0.0003535
                     53,                0.68237,                0.61138,                 1.0092,                0.97562,                0.84211,                0.92711,                0.68867,                0.95371,                0.86699,                 1.2255,             0.00034643,             0.00034643,             0.00034643
                     54,                0.66506,                 0.5914,                 1.0173,                0.93313,                0.85687,                0.92267,                0.71537,                0.91844,                0.89711,                 1.2766,             0.00033936,             0.00033936,             0.00033936
                     55,                0.68909,                0.62891,                 1.0261,                0.88385,                0.86779,                0.91969,                 0.6994,                 1.0033,                0.85796,                 1.2994,              0.0003323,              0.0003323,              0.0003323
                     56,                0.67024,                0.59105,                 1.0106,                0.88861,                0.87719,                0.92289,                0.71485,                0.94869,                0.82498,                 1.2547,             0.00032523,             0.00032523,             0.00032523
                     57,                0.65216,                0.58537,                 1.0073,                0.90468,                0.86842,                0.92173,                0.72074,                0.95609,                0.84419,                 1.2803,             0.00031816,             0.00031816,             0.00031816
                     58,                0.67141,                0.59708,                 1.0113,                0.92201,                0.85965,                0.93243,                0.71507,                0.96227,                0.81926,                 1.3008,             0.00031109,             0.00031109,             0.00031109
                     59,                0.67471,                0.59019,                 1.0143,                0.94126,                0.85088,                0.93822,                0.70722,                0.99125,                0.86613,                 1.2281,             0.00030402,             0.00030402,             0.00030402
                     60,                0.65219,                0.58178,                0.99401,                 0.8503,                0.89688,                0.93415,                0.71928,                 1.0124,                0.83458,                 1.2421,             0.00029695,             0.00029695,             0.00029695
                     61,                0.64621,                0.58484,                0.99429,                0.93746,                0.84211,                0.93935,                0.71276,                0.97714,                0.82596,                 1.2655,             0.00028988,             0.00028988,             0.00028988
